"n","uc_y1_1990","uc_y1_2019","uc_y10_1990","uc_y10_2019","arbreak_y1_1990","arbreak_y1_2019","arbreak_y10_1990","arbreak_y10_2019","arlearn_y1_1990","arlearn_y1_2019","arlearn_y10_1990","arlearn_y10_2019"
137,1.44946138750321,0.869376074397852,1.98743266920645,1.01045107830351,2.48431873187995,0.800549966901702,3.25345525874667,1.66503092028222,2.60303830528471,1.29087999491957,3.52887882097777,2.07746670602104
138,1.4450979842361,0.867232538504962,1.97970600687404,1.00747781266465,2.48262734140323,0.799421941491545,3.24793345456269,1.6632667615199,2.60120327308582,1.28996640382582,3.52488357413696,2.07520984269771
139,1.44079912150046,0.865072658308649,1.97206847664626,1.00451112435501,2.48085535668756,0.798272172720657,3.24234898602934,1.6615063331483,2.59930793001575,1.2890310870981,3.52071258076326,2.07290470807493
140,1.43654460379533,0.862896806096792,1.96449046444149,1.00150451946843,2.47900729140367,0.797109704516077,3.23676590034384,1.65976988164313,2.59740589260219,1.28809745017523,3.51645939287502,2.07058611912541
141,1.43222523296635,0.860724056424236,1.95689329083746,0.998525851529324,2.47723334278685,0.795945271279632,3.23111235231594,1.65806081000926,2.59551752197003,1.28714069673959,3.5121949736348,2.06829564869469
142,1.42792007649445,0.858530531656704,1.94928033637903,0.995546359054532,2.47549108214083,0.794780534421558,3.22541610657706,1.65634725399197,2.59361701270933,1.28623167304824,3.50779796168628,2.06598956748537
143,1.42363649074628,0.856366829644925,1.94165809682761,0.992569815200482,2.4737202614314,0.793642037238984,3.21970967585194,1.6546766767762,2.59167669805093,1.28529060484852,3.50336364283917,2.06365872213548
144,1.41931065183293,0.854216268048651,1.93409880058089,0.989636140123658,2.47194447319961,0.792503860726943,3.21397821291207,1.65298608405325,2.58976082973601,1.28428685535937,3.4990162920838,2.06132862177807
145,1.41500394246398,0.852077607787915,1.92661234836383,0.986698662612642,2.47011797067035,0.791414714381126,3.20816744662234,1.65125622432757,2.58779413093042,1.28329304436634,3.49468833049599,2.05906026601249
146,1.41073155872978,0.849978155510306,1.91916657564055,0.98382579459012,2.46834272543394,0.790336304469762,3.20232027104994,1.64956351258105,2.58579733846259,1.28232350834175,3.49013370165262,2.05678821503813
147,1.40650653922798,0.847869291769383,1.91179631407414,0.980944323827114,2.46647388295475,0.789251757763804,3.19657988331984,1.64785222482607,2.58382946204321,1.2814000767068,3.48559993583536,2.05450394050344
148,1.40231422872414,0.845756153389505,1.90449831003133,0.978064028506996,2.46451642094751,0.788106319337848,3.19087254734186,1.64610036982369,2.58182913026004,1.2804577669459,3.48108854341017,2.05222827592268
149,1.39813029675824,0.843599930685596,1.89726880049134,0.975181012402956,2.4625938809971,0.786992239264582,3.18514988566023,1.64435653850732,2.57984137016838,1.27953388298251,3.47660300501721,2.04996167693758
150,1.39395607285129,0.841468986928571,1.89005140573945,0.972337406478713,2.46074105377916,0.785884161611913,3.17942112202405,1.64262315027169,2.57779311057024,1.27863686964385,3.47197851634121,2.04770151307858
151,1.3897566414912,0.839335293453643,1.88288296299288,0.969494511889084,2.45881928137575,0.784781664768846,3.17366848296438,1.64089354320728,2.57574567742704,1.27772871029282,3.46738530823305,2.04546058090925
