date,mpu10
11/5/1990,1.082417253
11/6/1990,1.07217903
11/7/1990,1.074916215
11/8/1990,1.089350591
11/9/1990,1.091823977
11/12/1990,1.080003174
11/13/1990,1.066849788
11/14/1990,1.066011676
11/15/1990,1.034503407
11/16/1990,1.014305694
11/19/1990,1.01687867
11/20/1990,0.993573246
11/21/1990,1.003943459
11/23/1990,1.007766458
11/26/1990,1.013996575
11/27/1990,1.042128045
11/28/1990,1.103851197
11/29/1990,1.06712378
11/30/1990,1.046763883
12/3/1990,1.010158213
12/4/1990,0.991306193
12/5/1990,1.00564912
12/6/1990,1.00390267
12/7/1990,0.97871549
12/10/1990,1.001764125
12/11/1990,1.009724049
12/12/1990,1.013058343
12/13/1990,1.014386916
12/14/1990,1.024737529
12/17/1990,1.056729008
12/18/1990,1.056738361
12/19/1990,1.051928315
12/20/1990,1.047560599
12/21/1990,1.048881428
12/24/1990,1.101957578
12/26/1990,1.121192126
12/27/1990,1.116873353
12/28/1990,1.104632078
12/31/1990,1.108817336
1/2/1991,1.101666228
1/3/1991,1.084472025
1/4/1991,1.065611166
1/7/1991,1.084004267
1/8/1991,1.094424028
1/9/1991,1.133186413
1/10/1991,1.131949824
1/11/1991,1.13982477
1/14/1991,1.158686254
1/15/1991,1.149388022
1/16/1991,1.153552578
1/17/1991,1.049194695
1/18/1991,1.04456502
1/21/1991,1.034772186
1/22/1991,1.034687581
1/23/1991,1.021353805
1/24/1991,1.0177623
1/25/1991,1.030554801
1/28/1991,1.019233745
1/29/1991,1.024346976
1/30/1991,1.00417598
1/31/1991,1.001434839
2/1/1991,0.98686484
2/4/1991,0.96269827
2/5/1991,0.967123043
2/6/1991,0.972581847
2/7/1991,0.996896516
2/8/1991,1.002020082
2/11/1991,1.000682674
2/12/1991,1.016745058
2/13/1991,1.013070731
2/14/1991,1.014682052
2/15/1991,1.013254569
2/19/1991,1.026677817
2/20/1991,1.029161282
2/21/1991,1.036363261
2/22/1991,1.049796729
2/25/1991,1.052432393
2/26/1991,1.050952443
2/27/1991,1.052207072
2/28/1991,1.05113436
3/1/1991,1.070583457
3/4/1991,1.059871481
3/5/1991,1.053063161
3/6/1991,1.079054624
3/7/1991,1.089264861
3/8/1991,1.089284473
3/11/1991,1.068465798
3/12/1991,1.071516272
3/13/1991,1.07658666
3/14/1991,1.064562435
3/15/1991,1.072207917
3/18/1991,1.096599668
3/19/1991,1.130091486
3/20/1991,1.131258373
3/21/1991,1.112441494
3/22/1991,1.123017432
3/25/1991,1.127581534
3/26/1991,1.180671954
3/27/1991,1.178997302
3/28/1991,1.156454556
4/1/1991,1.15229872
4/2/1991,1.153628932
4/3/1991,1.155387724
4/4/1991,1.133452152
4/5/1991,1.137130746
4/8/1991,1.134319615
4/9/1991,1.164681241
4/10/1991,1.159600363
4/11/1991,1.16624782
4/12/1991,1.170056205
4/15/1991,1.170561427
4/16/1991,1.164177384
4/17/1991,1.155493131
4/18/1991,1.147408812
4/19/1991,1.164654229
4/22/1991,1.168494947
4/23/1991,1.178279152
4/24/1991,1.187367957
4/25/1991,1.191844661
4/26/1991,1.198368253
